auditNumber,tranType,orgLvlNumber,prdLvlNumber,pmgPoNumber,pmgLineNumber,pmgDtlTechKey,fieldCode,entityName,value,valErrCode,dateCreated,downloadDate1,downloadDate2,vendorNumber,vpcShpPoint,vpcCasePackId,prdLvlId,orgLvlId,pmgExtPoNum,batchNum,nombreArchivo,fechaSstage,fechaPermanente,fechaBackup
266,A,,,,,,PE,PMGHDREE,44,,2022-08-18 10:10:41.0,,,,,,,,,261,,,,2022-08-18 10:10:41.0
267,A,,,,,,TE,PMGHDREE,OI23,,2022-08-18 10:10:41.0,,,,,,,,,261,,,,2022-08-18 10:10:41.0
